Model,Metric
mlp,0.46758717328360494
mlp_ts,0.3985298526337836
GradientBoosting_ts,0.375854946015631
GradientBoosting,0.33679587845715486
RandomForest,0.29972712038767835
HistGradientBoosting,0.2944889772477836
RandomForest_ts,0.2852063221130151
SGDRegressorts,0.27895965273229717
BayesianRidge,0.27631198543899194
Ridge,0.27607407142288987
Ridge_0.5,0.27604734753079946
LinearRegression,0.2760205938736844
Lasso_0.1,0.2746374694652003
HistGradientBoosting_ts,0.2694612898210246
BayesianRidge_ts,0.24547546864923153
Ridge_ts,0.24494078957048973
Ridge_0.5_ts,0.24487058301616718
LinearRegression_ts,0.2447988812319802
SGDRegressor_ts,0.2432965459698117
XGBoost,0.23064768594937246
Lasso_0.1_ts,0.21946776630437204
XGBoost_ts,0.1830913023535695
Lasso_ts,0.1747277156326728
ElasticNet_ts,0.16847605661054854
ElasticNet,0.13892668061487978
Lasso,0.12403308432970506
AdaBoost,0.035809649387350095
AdaBoost_ts,-0.23621149333030775
